"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto"
"6287","null","null","null","papyrus","codex","301","500"
"6295","null","107766","107766","papyrus","codex","351","400"
"6296","","107734","107734","parchment","codex","401","500"
"6298","null","144293","144293","papyrus","codex","501","700"
"6299","null","144293","144293","papyrus","codex","501","700"
"6300","null","144320","144320","papyrus","codex","501","700"
"6301","null","108565","108565","papyrus","codex","501","700"
"6302","null","108574","108574","papyrus","codex","701","800"
"6303","null","107787","107787","parchment","vertical roll","401","500"
"6305","null","null","null","papyrus","codex","601","700"
"6306","null","108569","108569","stone","ostrakon","501","700"
"6307","null","108540","108540","terracotta","ostrakon","601","800"
"6308","null","171919","171919","stone","ostrakon","501","800"
"6309","null","171920","171920","stone","ostrakon","501","800"
"6310","null","108836","108836","stone","ostrakon","701","800"
"6311","null","171917","171917","stone","ostrakon","501","800"
"6312","null","171918","171918","stone","ostrakon","501","800"
"6313","null","108538","108538","terracotta","ostrakon","401","600"
"6314","null","108572","108572","terracotta","ostrakon","601","800"
"6316","null","113282","113282","terracotta","ostrakon","590","780"
"6318","null","130184","130184","terracotta","ostrakon","701","750"
"6319","null","131612","131612","wood","tablet","501","700"
"6320","null","130185","130185","terracotta","ostrakon","701","750"
"6321","null","107806","107806","terracotta","ostrakon","601","900"
"6322","null","700755","700755","terracotta","ostrakon","601","750"
"6323","null","108620","108620","papyrus","codex","401","900"
"6324","null","108621","108621","papyrus","codex","401","900"
"6331","null","107757","107757","papyrus","codex","301","500"
"6332","null","107936","107936","parchment","codex","401","500"
"6333","null","108426","108426","papyrus","vertical roll","301","450"
"6334","null","107755","107755","papyrus","codex","301","400"
"6336","null","108687","108687","parchment","null","601","1000"
"6338","null","null","null","parchment","codex","701","825"
"6339","null","108028; 111279","108028; 111279","parchment","codex","501","700"
"6340","null","108029","108029","parchment","codex","501","600"
"6341","null","108030","108030","papyrus","single leaf","501","700"
"6343","null","108031","108031","parchment","codex","301","500"
"6344","null","61661","2811","papyrus","codex","501","600"
"6345","null","64981","6222","parchment","single leaf","501","600"
"6346","null","369019","369019","parchment","codex","401","700"
"6347","null","null","null","papyrus","codex","501","700"
"6350","null","108693","108693","parchment","codex","601","800"
"6351","null","108689","108689","papyrus","codex","501","700"
"6352","null","108690","108690","papyrus","codex","501","700"
"6353","null","108695","108695","papyrus","codex","601","800"
"6354","null","108691","108691","parchment","codex","601","700"
"6356","null","108697","108697","papyrus","codex","701","800"
"6363","null","null","null","parchment","codex","301","500"
"6370","null","107965","107965","papyrus","codex","301","400"
"6371","null","107965","107965","papyrus","codex","301","400"
"6376","null","128460","128460","parchment","codex","501","600"
"6379","null","null","null","papyrus","codex","601","800"
"6380","null","108824","108824","terracotta","ostrakon","501","900"
"6381","null","110390","110390","stone","ostrakon","401","1000"
"6383","null","112629","112629","stone","ostrakon","501","900"
"6385","null","111175","111175","terracotta","ostrakon","501","700"
"6386","null","135855","135855","parchment","single leaf","601","900"
"6387","null","100014","100014","papyrus","codex","601","800"
"6388","null","370267","null","parchment","codex","701","1000"
"6392","null","370268","null","parchment","codex","701","1000"
